item_id,rating,rated_at,mode,round
ee04cee0b34e,2,2026-08-26T16:32:14,blind,1
a0534e798bd0,2,2026-08-26T16:32:25,blind,1
a1759eebfffc,3,2026-08-26T16:32:41,blind,1
8066ff5d55d7,3,2026-08-26T16:34:16,blind,1
25bdd09075e0,5,2026-08-26T16:34:30,blind,1
449a1fece84b,4,2026-08-26T16:34:46,blind,1
a0fa21faf73f,4,2026-08-26T16:35:03,blind,1
18475932ae4f,2,2026-08-26T16:35:15,blind,1
b774537341a2,5,2026-08-26T16:35:31,blind,1
1b234536219a,2,2026-08-26T16:35:45,blind,1
95298b338c53,2,2026-08-26T16:36:14,blind,1
10644b7c2dec,3,2026-08-26T16:36:30,blind,1
ce73d57dadaa,1,2026-08-26T16:36:57,blind,1
a0dd2e73e4bc,3,2026-08-26T16:37:13,blind,1
141f587713e2,3,2026-08-26T16:37:28,blind,1
f694d6c6bd56,3,2026-08-26T16:37:42,blind,1
9f91bbc23b2d,3,2026-08-26T16:38:01,blind,1
df7466c33d21,5,2026-08-26T16:38:12,blind,1
33b34af5f912,4,2026-08-26T16:38:23,blind,1
92b19c625436,3,2026-08-26T16:38:34,blind,1
3b903ab7645a,2,2026-08-26T16:38:59,blind,1
7fd2d6767575,3,2026-08-26T16:39:14,blind,1
f39512f3e885,1,2026-08-26T16:39:27,blind,1
69dc74593de4,5,2026-08-26T16:39:39,blind,1
bb9d18007856,4,2026-08-26T16:39:48,blind,1
a11db7bce738,1,2026-08-26T16:39:57,blind,1
0ba40f74f69b,2,2026-08-26T16:40:16,blind,1
316a2626d8f2,4,2026-08-26T16:40:28,blind,1
fa50662d76e9,2,2026-08-26T16:40:35,blind,1
60c5324404d9,3,2026-08-26T16:40:44,blind,1
4b949653f5ff,3,2026-08-26T16:40:55,blind,1
951f1e3f1ec0,4,2026-08-26T16:41:11,blind,1
4b346577077d,4,2026-08-26T16:41:19,blind,1
2c946c44b368,4,2026-08-26T16:41:29,blind,1
357e200293fe,3,2026-08-26T16:41:36,blind,1
1f4de09e8a6d,5,2026-08-26T16:41:43,blind,1
9925fa00c4ac,4,2026-08-26T16:41:56,blind,1
bd803d140844,4,2026-08-26T16:42:02,blind,1
e6f442f645d9,3,2026-08-26T16:42:11,blind,1
5b3118ee3a41,3,2026-08-26T16:42:18,blind,1
c3cb892e1d9d,1,2026-08-26T16:42:32,blind,1
199d426081a4,4,2026-08-26T16:42:39,blind,1
721ab1389649,5,2026-08-26T16:42:44,blind,1
cf4954e27ddb,5,2026-08-26T16:42:54,blind,1
160785a46210,3,2026-08-26T16:43:02,blind,1
f9cd8fb7fc19,5,2026-08-26T16:43:15,blind,1
dc3bb832802a,3,2026-08-26T16:43:29,blind,1
e96fd792bbc6,3,2026-08-26T16:43:41,blind,1
fb8e528e378a,4,2026-08-26T16:43:49,blind,1
54aa64b688e6,1,2026-08-26T16:44:00,blind,1
a71a56e2004f,3,2026-08-26T16:44:09,blind,1
9f562b3ddfb0,4,2026-08-26T16:44:16,blind,1
cbd9fa9e9daf,5,2026-08-26T16:44:46,blind,1
0f327c4ba48c,4,2026-08-26T16:45:27,blind,1
af811c68ed86,3,2026-08-26T16:45:51,blind,1
646598783b7d,3,2026-08-26T16:45:59,blind,1
3867ee8e8bd5,3,2026-08-26T16:46:13,blind,1
dc0e7adf159e,4,2026-08-26T16:46:22,blind,1
e627463517de,4,2026-08-26T16:46:30,blind,1
a37852e9c011,4,2026-08-26T16:46:42,blind,1
21b01dd239cc,3,2026-08-26T16:46:47,blind,1
212aa32c2a04,2,2026-08-26T16:46:58,blind,1
def38efe48fc,2,2026-08-26T16:47:07,blind,1
110a5504f50d,3,2026-08-26T16:47:11,blind,1
6edbce104bf7,4,2026-08-26T16:47:16,blind,1
a5f31d6f9384,3,2026-08-26T16:47:24,blind,1
cb1a3c845d6e,4,2026-08-26T16:47:33,blind,1
996d6478f372,4,2026-08-26T16:47:51,blind,1
2b003a4b3883,3,2026-08-26T16:48:03,blind,1
e12c114934b5,3,2026-08-26T16:48:11,blind,1
3743774a9f2f,4,2026-08-26T16:48:18,blind,1
c6978bb757f1,3,2026-08-26T16:48:29,blind,1
e01231f1bb7a,2,2026-08-26T16:48:36,blind,1
d55e6977024a,1,2026-08-26T16:48:50,blind,1
