item_id,split,assigned_at
4dd04d110348,train,2026-08-26T16:53:07
4b949653f5ff,train,2026-08-26T16:53:07
0f327c4ba48c,train,2026-08-26T16:53:07
b774537341a2,train,2026-08-26T16:53:07
996d6478f372,train,2026-08-26T16:53:07
f9cd8fb7fc19,train,2026-08-26T16:53:07
1f4de09e8a6d,train,2026-08-26T16:53:07
a7e4f881f499,train,2026-08-26T16:53:07
83d0a0cd3665,train,2026-08-26T16:53:07
a0fa21faf73f,train,2026-08-26T16:53:07
48efbc64eb54,train,2026-08-26T16:53:07
01bf28548e15,train,2026-08-26T16:53:07
95298b338c53,train,2026-08-26T16:53:07
a11db7bce738,train,2026-08-26T16:53:07
dc3bb832802a,train,2026-08-26T16:53:07
4b346577077d,train,2026-08-26T16:53:07
035e0c2cffbb,train,2026-08-26T16:53:07
5b3118ee3a41,train,2026-08-26T16:53:07
def38efe48fc,train,2026-08-26T16:53:07
e6f442f645d9,train,2026-08-26T16:53:07
2e98308cba75,train,2026-08-26T16:53:07
a1759eebfffc,train,2026-08-26T16:53:07
2c946c44b368,train,2026-08-26T16:53:07
951f1e3f1ec0,train,2026-08-26T16:53:07
18475932ae4f,train,2026-08-26T16:53:07
199d426081a4,train,2026-08-26T16:53:07
fa50662d76e9,train,2026-08-26T16:53:07
60c5324404d9,train,2026-08-26T16:53:07
d20aaed7b3a5,train,2026-08-26T16:53:07
3743774a9f2f,train,2026-08-26T16:53:07
357e200293fe,train,2026-08-26T16:53:07
ad49864f7ba4,train,2026-08-26T16:53:07
110a5504f50d,train,2026-08-26T16:53:07
ee04cee0b34e,train,2026-08-26T16:53:07
a89d3a9a72f2,train,2026-08-26T16:53:07
feca50b053bb,train,2026-08-26T16:53:07
a0534e798bd0,train,2026-08-26T16:53:07
72fc72fcb3c7,train,2026-08-26T16:53:07
1b234536219a,train,2026-08-26T16:53:07
9f562b3ddfb0,train,2026-08-26T16:53:07
33b34af5f912,train,2026-08-26T16:53:07
df7466c33d21,train,2026-08-26T16:53:07
9925fa00c4ac,train,2026-08-26T16:53:07
cf4954e27ddb,train,2026-08-26T16:53:07
820452acef00,train,2026-08-26T16:53:07
af811c68ed86,train,2026-08-26T16:53:07
212aa32c2a04,train,2026-08-26T16:53:07
f39512f3e885,train,2026-08-26T16:53:07
160785a46210,train,2026-08-26T16:53:07
a0dd2e73e4bc,train,2026-08-26T16:53:07
9c4e240691e6,train,2026-08-26T16:53:07
ce73d57dadaa,train,2026-08-26T16:53:07
10644b7c2dec,train,2026-08-26T16:53:07
141f587713e2,train,2026-08-26T16:53:07
9f91bbc23b2d,train,2026-08-26T16:53:07
0ba40f74f69b,train,2026-08-26T16:53:07
e627463517de,train,2026-08-26T16:53:07
3d090dda78ec,val,2026-08-26T16:53:07
6edbce104bf7,val,2026-08-26T16:53:07
d55e6977024a,val,2026-08-26T16:53:07
3b903ab7645a,val,2026-08-26T16:53:07
d4e9ab9e2ab8,val,2026-08-26T16:53:07
cb1a3c845d6e,val,2026-08-26T16:53:07
fb8e528e378a,val,2026-08-26T16:53:07
3867ee8e8bd5,val,2026-08-26T16:53:07
e12c114934b5,val,2026-08-26T16:53:07
92b19c625436,val,2026-08-26T16:53:07
8066ff5d55d7,val,2026-08-26T16:53:07
dc0e7adf159e,val,2026-08-26T16:53:07
cbd9fa9e9daf,val,2026-08-26T16:53:07
a71a56e2004f,val,2026-08-26T16:53:07
c3cb892e1d9d,val,2026-08-26T16:53:07
721ab1389649,val,2026-08-26T16:53:07
7fd2d6767575,val,2026-08-26T16:53:07
a37852e9c011,val,2026-08-26T16:53:07
bd803d140844,val,2026-08-26T16:53:07
c6978bb757f1,val,2026-08-26T16:53:07
fcba61b30446,test,2026-08-26T16:53:07
e4bbd2e53d63,test,2026-08-26T16:53:07
646598783b7d,test,2026-08-26T16:53:07
449a1fece84b,test,2026-08-26T16:53:07
25bdd09075e0,test,2026-08-26T16:53:07
bb9d18007856,test,2026-08-26T16:53:07
54aa64b688e6,test,2026-08-26T16:53:07
e01231f1bb7a,test,2026-08-26T16:53:07
e96fd792bbc6,test,2026-08-26T16:53:07
5f30a9c7044d,test,2026-08-26T16:53:07
21b01dd239cc,test,2026-08-26T16:53:07
a5f31d6f9384,test,2026-08-26T16:53:07
69dc74593de4,test,2026-08-26T16:53:07
7b99f81bfd84,test,2026-08-26T16:53:07
0a2937e226a8,test,2026-08-26T16:53:07
f694d6c6bd56,test,2026-08-26T16:53:07
2b003a4b3883,test,2026-08-26T16:53:07
316a2626d8f2,test,2026-08-26T16:53:07
222c2fb190fd,test,2026-08-26T16:53:07
99c63b21998c,test,2026-08-26T16:53:07
cf00c9f48a15,train,2026-08-26T16:53:07
ac71bad84133,train,2026-08-26T16:53:07
a7cc76c95606,train,2026-08-26T16:53:07
41e08a621711,train,2026-08-26T16:53:07
f11c987bee18,train,2026-08-26T16:53:07
b725a74ec392,train,2026-08-26T16:53:07
f04900e2606e,train,2026-08-26T16:53:07
9526c315036b,train,2026-08-26T16:53:07
c41a17c5012f,train,2026-08-26T16:53:07
1e0962cb7430,train,2026-08-26T16:53:07
78cf3f82f9e1,train,2026-08-26T16:53:07
